Date,Open,High,Low,Close,Adj Close,Volume
2021-04-22,13920.879883,13954.030273,13716.759766,13762.360352,13762.360352,4397030000
2021-04-23,13794.490234,13989.429688,13789.450195,13941.440430,13941.440430,4332500000
2021-04-26,13954.940430,14039.400391,13919.929688,14026.160156,14026.160156,4479480000
2021-04-27,14048.129883,14048.339844,13931.179688,13960.280273,13960.280273,4665430000
2021-04-28,13953.610352,13992.080078,13895.150391,13901.620117,13901.620117,4532050000
2021-04-29,14063.940430,14073.480469,13836.099609,13970.200195,13970.200195,4854340000
2021-04-30,13857.790039,13969.209961,13838.820313,13860.759766,13860.759766,4762770000
2021-05-03,13923.040039,13955.000000,13784.660156,13799.719727,13799.719727,4718850000
2021-05-04,13680.629883,13705.379883,13396.110352,13544.669922,13544.669922,5852850000
2021-05-05,13649.120117,13676.860352,13478.580078,13503.370117,13503.370117,4517100000
2021-05-06,13490.940430,13617.339844,13403.459961,13613.730469,13613.730469,5000710000
2021-05-07,13715.559570,13814.650391,13669.780273,13719.629883,13719.629883,4376800000
2021-05-10,13647.730469,13648.490234,13358.620117,13359.080078,13359.080078,4795690000
2021-05-11,13102.639648,13381.660156,13094.759766,13351.269531,13351.269531,4719720000
2021-05-12,13155.070313,13236.889648,12967.179688,13001.629883,13001.629883,4730740000
2021-05-13,13133.730469,13226.639648,13006.769531,13109.150391,13109.150391,4681530000
2021-05-14,13238.990234,13430.000000,13220.190430,13393.120117,13393.120117,4008110000
2021-05-17,13329.860352,13350.139648,13196.570313,13312.910156,13312.910156,3980630000
2021-05-18,13352.259766,13400.519531,13212.849609,13217.679688,13217.679688,4283680000
2021-05-19,12998.530273,13243.980469,12994.349609,13237.910156,13237.910156,4314980000
2021-05-20,13294.589844,13526.009766,13293.099609,13494.089844,13494.089844,3972730000
2021-05-21,13573.219727,13573.839844,13401.530273,13411.740234,13411.740234,3704590000
2021-05-24,13504.389648,13687.610352,13500.120117,13641.750000,13641.750000,3490650000
2021-05-25,13701.299805,13734.410156,13614.540039,13657.730469,13657.730469,4084480000
2021-05-26,13687.709961,13726.059570,13661.059570,13702.740234,13702.740234,4231140000
2021-05-27,13686.860352,13724.759766,13652.129883,13657.849609,13657.849609,5057550000
2021-05-28,13717.000000,13765.799805,13684.830078,13686.509766,13686.509766,4435220000
2021-06-01,13764.269531,13773.450195,13602.120117,13654.589844,13654.589844,4155670000
2021-06-02,13655.709961,13712.679688,13610.160156,13675.790039,13675.790039,5059810000
2021-06-03,13568.910156,13608.540039,13469.849609,13529.679688,13529.679688,5367460000
2021-06-04,13619.790039,13784.769531,13613.580078,13770.769531,13770.769531,4341800000
2021-06-07,13744.150391,13808.419922,13710.110352,13802.889648,13802.889648,4602940000
2021-06-08,13873.459961,13913.400391,13746.419922,13810.860352,13810.860352,5894140000
2021-06-09,13865.509766,13900.709961,13811.049805,13814.940430,13814.940430,5607720000
2021-06-10,13834.259766,13962.980469,13817.830078,13960.349609,13960.349609,4889500000
2021-06-11,13959.469727,13998.650391,13934.000000,13998.299805,13998.299805,4140190000
2021-06-14,14002.139648,14129.330078,13963.940430,14128.200195,14128.200195,4394380000
2021-06-15,14120.809570,14126.259766,14008.929688,14030.410156,14030.410156,4517770000
2021-06-16,14053.120117,14100.110352,13843.599609,13983.009766,13983.009766,4632480000
2021-06-17,13946.700195,14205.429688,13946.519531,14163.809570,14163.809570,4526780000
2021-06-18,14125.120117,14140.620117,14024.599609,14049.580078,14049.580078,6105960000
2021-06-21,14055.040039,14150.910156,13967.889648,14137.230469,14137.230469,4523120000
2021-06-22,14140.299805,14288.490234,14128.009766,14270.419922,14270.419922,4405260000
2021-06-23,14275.089844,14324.740234,14247.580078,14274.240234,14274.240234,4394600000
2021-06-24,14358.299805,14429.139648,14337.650391,14365.959961,14365.959961,4297280000
2021-06-25,14396.629883,14401.709961,14324.259766,14345.179688,14345.179688,7436800000
2021-06-28,14401.629883,14530.070313,14400.589844,14524.980469,14524.980469,4235620000
2021-06-29,14523.629883,14575.190430,14481.849609,14572.750000,14572.750000,4842860000
2021-06-30,14560.070313,14582.299805,14530.870117,14554.799805,14554.799805,5264790000
2021-07-01,14530.629883,14576.639648,14483.419922,14560.049805,14560.049805,4371620000
2021-07-02,14633.509766,14738.139648,14626.820313,14727.629883,14727.629883,3731730000
2021-07-06,14755.150391,14797.450195,14635.309570,14786.360352,14786.360352,4464780000
2021-07-07,14889.759766,14891.190430,14735.750000,14810.540039,14810.540039,4582030000
2021-07-08,14577.669922,14763.669922,14551.759766,14722.139648,14722.139648,4550600000
2021-07-09,14709.320313,14838.719727,14685.540039,14826.089844,14826.089844,3809040000
2021-07-12,14878.709961,14899.459961,14813.790039,14877.889648,14877.889648,3864500000
2021-07-13,14871.040039,15002.280273,14843.799805,14874.540039,14874.540039,4553380000
2021-07-14,14984.860352,15001.129883,14871.730469,14900.440430,14900.440430,4461730000
2021-07-15,14903.490234,14907.509766,14717.549805,14794.690430,14794.690430,4493540000
2021-07-16,14842.080078,14875.969727,14667.099609,14681.379883,14681.379883,4048940000
2021-07-19,14517.959961,14578.959961,14455.070313,14549.089844,14549.089844,4507040000
2021-07-20,14601.339844,14790.599609,14530.780273,14728.209961,14728.209961,4618980000
2021-07-21,14723.669922,14843.169922,14710.110352,14842.629883,14842.629883,4075150000
2021-07-22,14865.469727,14941.379883,14865.469727,14940.169922,14940.169922,3574560000
2021-07-23,15004.429688,15125.839844,14948.040039,15111.790039,15111.790039,3959410000
2021-07-26,15088.280273,15142.349609,15048.230469,15125.950195,15125.950195,4409960000
2021-07-27,15103.009766,15107.740234,14787.799805,14956.969727,14956.969727,4300000000
2021-07-28,15005.169922,15078.849609,14913.549805,15018.099609,15018.099609,4235390000
2021-07-29,15015.299805,15091.959961,15004.419922,15048.360352,15048.360352,3904590000
2021-07-30,14882.389648,14990.860352,14882.389648,14959.900391,14959.900391,3628750000
2021-08-02,15046.099609,15059.889648,14945.129883,14963.620117,14963.620117,3738200000
2021-08-03,14997.200195,15063.660156,14864.530273,15061.419922,15061.419922,4117520000
2021-08-04,15059.160156,15117.379883,15017.139648,15083.389648,15083.389648,4319400000
2021-08-05,15105.400391,15184.269531,15083.839844,15181.639648,15181.639648,4087320000
2021-08-06,15125.740234,15162.339844,15063.019531,15109.360352,15109.360352,4159050000
2021-08-09,15136.139648,15154.679688,15081.750000,15133.110352,15133.110352,4095760000
2021-08-10,15157.370117,15169.450195,15010.160156,15053.580078,15053.580078,3978790000
2021-08-11,15101.820313,15127.780273,14972.599609,15027.759766,15027.759766,3980530000
2021-08-12,15012.599609,15097.910156,14956.250000,15088.980469,15088.980469,4020260000
2021-08-13,15101.839844,15150.480469,15079.299805,15136.679688,15136.679688,4038130000
2021-08-16,15090.049805,15142.030273,14931.150391,15140.769531,15140.769531,3953840000
2021-08-17,15018.940430,15062.700195,14906.219727,15002.830078,15002.830078,4151190000
2021-08-18,14975.019531,15039.900391,14846.509766,14857.919922,14857.919922,3814120000
2021-08-19,14773.190430,15000.190430,14773.190430,14933.940430,14933.940430,4172870000
2021-08-20,14974.059570,15103.940430,14968.870117,15092.570313,15092.570313,3864780000
2021-08-23,15140.139648,15341.469727,15140.139648,15312.820313,15312.820313,3893990000
2021-08-24,15338.919922,15384.419922,15319.549805,15357.679688,15357.679688,3792870000
2021-08-25,15384.830078,15404.360352,15341.919922,15368.919922,15368.919922,3629990000
2021-08-26,15348.980469,15369.280273,15265.230469,15278.519531,15278.519531,3610970000
2021-08-27,15305.750000,15447.030273,15292.740234,15432.950195,15432.950195,4006310000
2021-08-30,15460.929688,15620.620117,15459.740234,15605.089844,15605.089844,4034110000
2021-08-31,15601.339844,15604.450195,15522.780273,15582.509766,15582.509766,4170170000
2021-09-01,15637.129883,15696.419922,15603.669922,15611.570313,15611.570313,4248030000
2021-09-02,15656.280273,15681.759766,15554.290039,15604.250000,15604.250000,4018120000
2021-09-03,15578.959961,15668.120117,15554.969727,15652.860352,15652.860352,3692170000
2021-09-07,15662.299805,15701.400391,15610.230469,15675.759766,15675.759766,3967040000
2021-09-08,15669.009766,15669.009766,15528.450195,15620.849609,15620.849609,4113530000
2021-09-09,15639.440430,15675.459961,15556.740234,15561.049805,15561.049805,3997250000
2021-09-10,15648.049805,15673.500000,15433.429688,15440.750000,15440.750000,4567980000
2021-09-13,15545.660156,15562.280273,15351.700195,15434.500000,15434.500000,4701190000
2021-09-14,15505.780273,15525.969727,15352.059570,15382.900391,15382.900391,4571950000
2021-09-15,15419.950195,15518.950195,15316.400391,15503.530273,15503.530273,4446270000
2021-09-16,15452.669922,15539.139648,15370.879883,15515.910156,15515.910156,3681700000
2021-09-17,15481.429688,15485.209961,15291.040039,15333.469727,15333.469727,6682650000
2021-09-20,15068.650391,15157.259766,14821.030273,15012.190430,15012.190430,4860630000
2021-09-21,15096.969727,15139.900391,14986.980469,15027.769531,15027.769531,4056340000
2021-09-22,15073.959961,15230.339844,15029.900391,15176.509766,15176.509766,4229870000
2021-09-23,15231.200195,15356.919922,15199.429688,15316.580078,15316.580078,4176520000
2021-09-24,15222.969727,15345.540039,15209.160156,15329.679688,15329.679688,3972140000
2021-09-27,15205.230469,15240.580078,15106.450195,15204.820313,15204.820313,4619450000
2021-09-28,15001.980469,15040.570313,14758.980469,14770.299805,14770.299805,4954270000
